Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Developer,Rating,Critic_Score
PS2,2001,Simulation,Namco Bandai Games,0.09,0.07,0.25,0.02,0.43,Sunrise Interactive,T,71
X360,2009,Misc,Activision,0.23,0.15,0,0.04,0.42,Beenox,T,71
XB,2002,Racing,Atari,0.35,0.05,0,0.02,0.42,Pitbull Syndicate,T,71
GC,2003,Platform,THQ,0.31,0.08,0,0.01,0.4,Avalanche Software,E,71
PS3,2012,Action,Capcom,0.18,0.12,0.06,0.05,0.4,CyberConnect2,T,71
3DS,N/A,Action,Warner Bros. Interactive Entertainment,0.18,0.19,0,0.03,0.4,Traveller's Tales,E10+,71
PS2,2005,Racing,Jester Interactive,0.33,0.01,0,0.05,0.4,Jester Interactive,E,71
X360,2009,Fighting,THQ,0.2,0.15,0,0.04,0.39,Yuke's,T,71
PS3,2010,Sports,Electronic Arts,0.22,0.12,0,0.06,0.39,EA Canada,E,71
X360,2011,Shooter,THQ,0.18,0.16,0.01,0.04,0.39,Volition Inc.,M,71
PS3,2011,Role-Playing,Square Enix,0.17,0.13,0.03,0.05,0.39,Obsidian Entertainment,T,71
PS3,N/A,Action,Konami Digital Entertainment,0.18,0.14,0,0.06,0.38,Double Helix Games,M,71
PS2,2007,Simulation,Electronic Arts,0.3,0.01,0,0.05,0.37,EA Redwood Shores,T,71
PS3,2009,Platform,Capcom,0.12,0.17,0.01,0.06,0.36,GRIN,M,71
PS2,2001,Fighting,Virgin Interactive,0.15,0.11,0.05,0.04,0.35,Eighting/Raizing,T,71
PSV,2013,Action,Tecmo Koei,0.04,0.04,0.25,0.02,0.35,Omega Force,T,71
XOne,2016,Action,Warner Bros. Interactive Entertainment,0.19,0.12,0,0.03,0.35,TT Games,E10+,71
XB,2002,Racing,Midway Games,0.25,0.07,0,0.01,0.34,Point of View,T,71
XB,2006,Sports,Take-Two Interactive,0.24,0.07,0,0.01,0.33,Kush Games,E,71
PS2,2004,Action,Tecmo Koei,0,0,0.32,0,0.32,Omega Force,T,71
X360,2005,Sports,Electronic Arts,0.28,0,0,0.02,0.31,EA Sports,E,71
PS2,2002,Role-Playing,Ubisoft,0.14,0.11,0,0.04,0.29,Game Arts,T,71
PSP,2010,Simulation,Namco Bandai Games,0.06,0.05,0.15,0.03,0.29,Project Aces,T,71
Wii,2007,Puzzle,D3Publisher,0.26,0,0,0.02,0.29,Vicious Cycle,E10+,71
PS,2000,Racing,Infogrames,0.16,0.11,0,0.02,0.29,Circus Freak,E,71
X360,2006,Simulation,Sega,0.24,0,0.01,0.02,0.28,From Software,T,71
PS2,2006,Role-Playing,505 Games,0.14,0.11,0,0.04,0.28,Media Vision,T,71
GC,N/A,Action,Disney Interactive Studios,0.22,0.06,0,0.01,0.28,Traveller's Tales,T,71
WiiU,2014,Action,Nintendo,0.17,0,0.08,0.02,0.28,Indies Zero,E,71
XB,2005,Platform,Activision,0.21,0.06,0,0.01,0.28,Toys for Bob,E10+,71
PS3,2014,Action,Namco Bandai Games,0.09,0.1,0.06,0.04,0.28,Ganbarion,T,71
DS,2006,Platform,Activision,0.24,0.01,0,0.02,0.27,Vicarious Visions,E,71
DS,2005,Puzzle,Namco Bandai Games,0.16,0,0.1,0.01,0.27,Namco,E,71
PS2,2007,Racing,THQ,0.13,0.1,0,0.03,0.27,Paradigm Entertainment,T,71
GBA,2001,Sports,Activision,0.19,0.07,0,0,0.27,HotGen,E,71
PS,2000,Sports,Sony Computer Entertainment,0.15,0.1,0,0.02,0.27,989 Sports,E,71
DS,2007,Puzzle,Mumbo Jumbo,0.25,0,0,0.02,0.27,"Mac Play, MacPlay",E,71
DS,2006,Action,Capcom,0.11,0.02,0.11,0.01,0.26,Capcom,M,71
DS,2007,Sports,Electronic Arts,0.23,0,0,0.02,0.25,Exient Entertainment,E,71
PS3,2007,Racing,THQ,0.18,0.04,0.01,0.03,0.25,Juice Games,T,71
GC,2005,Shooter,Electronic Arts,0.19,0.05,0,0.01,0.25,EA LA,T,71
GC,2003,Platform,Sega,0.19,0.05,0,0.01,0.25,Sonic Team,E,71
GC,2002,Sports,Nintendo,0.19,0.05,0,0.01,0.25,Left Field Productions,E,71
3DS,2011,Simulation,Namco Bandai Games,0.1,0.06,0.08,0.01,0.24,Project Aces,T,71
X360,2012,Action,Capcom,0.15,0.06,0.01,0.02,0.24,CyberConnect2,T,71
DS,2008,Role-Playing,Rising Star Games,0.11,0,0.12,0.01,0.24,"Matrix Software, Marvelous Entertainment",E10+,71
GBA,2005,Sports,Electronic Arts,0.17,0.06,0,0,0.23,Exient Entertainment,E,71
3DS,2011,Fighting,THQ,0.15,0.06,0,0.02,0.23,THQ,T,71
Wii,2007,Fighting,Midway Games,0.19,0.02,0,0.02,0.23,JGI Entertainment,M,71
XOne,2014,Role-Playing,Square Enix,0.1,0.1,0,0.02,0.22,"City Interactive, Deck 13",M,71
X360,2009,Shooter,THQ,0.12,0.07,0,0.02,0.21,Swordfish Studios,M,71
PS3,2013,Action,Square Enix,0.07,0.09,0,0.04,0.21,Io Interactive,M,71
PS3,2012,Action,Sega,0.1,0.03,0.06,0.02,0.2,PlatinumGames,M,71
GC,2002,Racing,Midway Games,0.16,0.04,0,0.01,0.2,Point of View,T,71
XB,2005,Action,Electronic Arts,0.15,0.04,0,0.01,0.2,Electronic Arts,T,71
X360,2008,Role-Playing,Compile Heart,0.18,0,0.01,0.01,0.2,Compile Heart,T,71
PS2,2004,Action,Atari,0.1,0.08,0,0.03,0.2,Stormfront Studios,T,71
Wii,2009,Role-Playing,Disney Interactive Studios,0.16,0.02,0,0.01,0.19,Genki,E10+,71
Wii,2008,Role-Playing,Sega,0.08,0,0.11,0.01,0.19,ChunSoft,T,71
GC,2003,Action,Universal Interactive,0.15,0.04,0,0.01,0.19,Radical Entertainment,T,71
Wii,2009,Action,Namco Bandai Games,0.17,0,0,0.01,0.18,Now Production,E,71
X360,2007,Shooter,Ubisoft,0.14,0.02,0,0.01,0.18,Techland,M,71
PSV,2015,Action,Marvelous Interactive,0.04,0.02,0.09,0.02,0.18,Marvelous Inc.,M,71
X360,2012,Sports,Electronic Arts,0.1,0.06,0,0.02,0.18,EA Sports,E,71
XB,2003,Sports,Microsoft Game Studios,0.13,0.04,0,0.01,0.17,High Voltage Software,E,71
PC,2012,Shooter,Ubisoft,0.05,0.1,0,0.02,0.17,Ubisoft Paris,M,71
PS2,2003,Action,Midway Games,0.08,0.07,0,0.02,0.17,Terminal Reality,M,71
X360,2007,Action,Activision,0.16,0,0,0.01,0.17,Beenox,E,71
PS2,2001,Sports,Tecmo Koei,0.05,0.04,0.06,0.01,0.17,Tecmo,E,71
GC,2002,Adventure,Nintendo,0.01,0,0.15,0,0.17,Nintendo,E,71
XB,2004,Racing,Empire Interactive,0.12,0.04,0,0.01,0.17,Bugbear,T,71
PS2,2001,Racing,LucasArts,0.08,0.06,0,0.02,0.16,Lucas Learning,E,71
PS2,2000,Racing,Electronic Arts,0.06,0.05,0.03,0.02,0.16,EA Sports,E,71
X360,2011,Action,Ubisoft Annecy,0.09,0.03,0.03,0.01,0.16,Omega Force,T,71
PC,2014,Racing,Ubisoft,0,0.15,0,0.01,0.16,"Ubisoft Reflections, Ivory Tower",T,71
3DS,2012,Platform,Namco Bandai Games,0.08,0.02,0.04,0.01,0.15,Inti Creates,E10+,71
XB,2004,Shooter,THQ,0.11,0.03,0,0.01,0.15,Terminal Reality,M,71
XOne,2016,Shooter,Take-Two Interactive,0.1,0.04,0,0.01,0.15,Gearbox Software,T,71
3DS,2012,Platform,Ubisoft,0.06,0.08,0,0.01,0.15,UBlart Montpellier,E10+,71
Wii,2007,Action,Vivendi Games,0.12,0.01,0,0.01,0.14,Radical Entertainment,M,71
PS2,2002,Adventure,Sony Computer Entertainment,0.07,0.05,0,0.02,0.14,Appaloosa Interactive,E,71
GBA,2005,Platform,Disney Interactive Studios,0.1,0.04,0,0,0.14,TOSE,E10+,71
PC,2015,Shooter,Electronic Arts,0,0.13,0,0.01,0.14,Visceral Games,M,71
X360,2007,Sports,Take-Two Interactive,0.11,0.01,0,0.01,0.13,Kush Games,E10+,71
DS,2008,Puzzle,Square Enix,0.1,0.02,0,0.01,0.12,Taito Corporation,E,71
3DS,2012,Platform,Sega,0.07,0.04,0,0.01,0.12,Zoe Mode,E10+,71
XB,2004,Adventure,Electronic Arts,0.09,0.03,0,0,0.12,Namco,M,71
XB,N/A,Fighting,Unknown,0.09,0.03,0,0,0.12,"Pipeworks Software, Inc.",T,71
PSV,2014,Action,Idea Factory International,0.03,0.01,0.06,0.01,0.11,Tamsoft,T,71
X360,2012,Racing,Namco Bandai Games,0.05,0.05,0,0.01,0.11,Bugbear,T,71
PS2,2003,Fighting,Ignition Entertainment,0.05,0.04,0,0.01,0.11,SNK Playmore,T,71
Wii,2008,Platform,Eidos Interactive,0.1,0,0,0.01,0.11,Backbone Entertainment,T,71
Wii,2010,Shooter,Reef Entertainment,0.07,0.02,0,0.01,0.11,Rebellion,M,71
DS,2008,Misc,Cave,0.1,0,0,0.01,0.1,Cave,E,71
PS2,2002,Sports,THQ,0.02,0.01,0.07,0,0.1,Koei/Inis,E,71
XB,2001,Sports,THQ,0.08,0.02,0,0,0.1,Radical Entertainment,T,71
WiiU,2013,Puzzle,Warner Bros. Interactive Entertainment,0.09,0,0,0.01,0.1,5TH Cell,E10+,71
DS,2007,Fighting,505 Games,0.09,0,0,0.01,0.1,Dimps Corporation,E10+,71
PS4,2015,Fighting,Capcom,0,0.08,0,0.01,0.1,Other Ocean Interactive,T,71
DS,2006,Role-Playing,Namco Bandai Games,0.09,0,0,0.01,0.1,Bec,E10+,71
Wii,2009,Action,Konami Digital Entertainment,0.09,0,0,0.01,0.1,Loose Cannon Studios,E10+,71
PS2,2006,Role-Playing,505 Games,0,0,0.1,0,0.1,Gust,T,71
PS4,2015,Action,Tecmo Koei,0.02,0.01,0.06,0.01,0.1,Omega Force,T,71
3DS,2012,Puzzle,Nintendo,0.09,0,0,0.01,0.09,Nintendo,E,71
XB,2005,Misc,Crave Entertainment,0.07,0.02,0,0,0.09,Crave,T,71
XB,2005,Action,Activision,0.07,0.02,0,0,0.09,Shaba Games,E10+,71
PS2,2005,Shooter,Eidos Interactive,0.04,0.04,0,0.01,0.09,Deadline Games,M,71
PS2,2005,Strategy,Tecmo Koei,0.04,0.03,0,0.01,0.09,Koei,T,71
PS2,2001,Action,Eidos Interactive,0.04,0.03,0,0.01,0.09,Core Design Ltd.,T,71
PS2,2005,Sports,Electronic Arts,0.04,0.03,0,0.01,0.09,HB Studios Multimedia,E,71
DS,2008,Puzzle,Empire Interactive,0.08,0.01,0,0.01,0.09,Razorworks,E,71
3DS,2016,Action,505 Games,0,0.04,0.05,0,0.09,Re-Logic,T,71
X360,2008,Fighting,505 Games,0.07,0,0.01,0.01,0.09,Arc System Works,T,71
DS,2009,Sports,Take-Two Interactive,0.06,0.01,0,0.01,0.08,Venom Games,T,71
XB,2002,Action,Midway Games,0.06,0.02,0,0,0.08,Kuju Entertainment,T,71
PS2,2002,Simulation,Metro 3D,0.04,0.03,0,0.01,0.08,Racjin,T,71
GC,2003,Role-Playing,Sega,0.06,0.02,0,0,0.08,Sonic Team,T,71
PS2,2005,Platform,Sony Computer Entertainment,0.04,0.03,0,0.01,0.08,Magenta Software,E,71
PS2,2002,Strategy,Tecmo Koei,0.04,0.03,0,0.01,0.08,Koei,E,71
PS3,2014,Role-Playing,Nippon Ichi Software,0.05,0.01,0,0.01,0.07,FuRyu,T,71
PS4,2015,Role-Playing,Idea Factory International,0.02,0,0.05,0,0.07,Compile Heart,T,71
XB,2004,Action,Tecmo Koei,0.05,0.02,0,0,0.07,Omega Force,T,71
PS2,2006,Strategy,THQ,0.03,0.02,0,0.01,0.07,Pandemic Studios,M,71
XB,2005,Action,Ubisoft,0.05,0.01,0,0,0.06,Darkworks,M,71
GC,2003,Platform,Acclaim Entertainment,0.05,0.01,0,0,0.06,Acclaim,T,71
PC,2008,Role-Playing,Ascaron Entertainment GmbH,0,0.05,0,0.01,0.06,"Ascaron Entertainment GmbH, Ascaron Entertainment",M,71
PSV,2015,Role-Playing,Aksys Games,0.01,0,0.05,0,0.06,Tri-Ace,T,71
PS2,2006,Misc,Konami Digital Entertainment,0.03,0.02,0,0.01,0.06,Harmonix Music Systems,E10+,71
GBA,2001,Role-Playing,Konami Digital Entertainment,0.04,0.02,0,0,0.06,WinkySoft,E,71
DS,2005,Shooter,Majesco Entertainment,0.05,0,0,0,0.06,Shin'en,E,71
X360,2014,Simulation,Kalypso Media,0.03,0.02,0,0,0.06,Haemimont,T,71
GC,2002,Action,Eidos Interactive,0.04,0.01,0,0,0.05,Crystal Dynamics,M,71
XB,2003,Sports,Midway Games,0.04,0.01,0,0,0.05,Midway,E,71
XB,2003,Racing,Codemasters,0.04,0.01,0,0,0.05,Codemasters,E,71
DS,2007,Action,Atlus,0.05,0,0,0,0.05,Noise Factory,E,71
XB,2003,Role-Playing,Mindscape,0.04,0.01,0,0,0.05,Arkane Studios,M,71
DS,2008,Adventure,Deep Silver,0.04,0.01,0,0,0.05,"10tacle Studios, Fusionsphere Systems",T,71
GBA,2002,Puzzle,Acclaim Entertainment,0.03,0.01,0,0,0.05,PuzzleKings,E,71
DS,2009,Adventure,Mastiff,0.04,0,0,0,0.05,Renegade Kid,T,71
XB,2005,Shooter,Majesco Entertainment,0.04,0.01,0,0,0.05,Artech Studios,M,71
PS,2001,Shooter,Namco Bandai Games,0.03,0.02,0,0,0.05,Flying Tiger Development,T,71
PS4,2016,Racing,Milestone S.r.l,0,0.04,0,0.01,0.05,Milestone S.r.l,E,71
PS4,2016,Racing,Milestone S.r.l,0,0.04,0,0.01,0.04,Milestone S.r.l,E,71
PS2,2006,Shooter,Eidos Interactive,0.02,0.02,0,0.01,0.04,Rebellion,T,71
GC,2004,Fighting,Atari,0.03,0.01,0,0,0.04,Black Ship Games,T,71
DS,2006,Sports,Electronic Arts,0.03,0,0,0,0.04,EA Canada,E,71
PS3,2008,Racing,System 3 Arcade Software,0,0.03,0,0.01,0.04,Eutechnyx,E,71
PSV,2015,Role-Playing,Nippon Ichi Software,0.02,0,0,0.01,0.04,Experience Inc.,T,71
PS2,2003,Misc,Jester Interactive,0.02,0.01,0,0,0.04,Jester Interactive,E,71
PC,2006,Simulation,Ubisoft,0,0.03,0,0.01,0.03,Ascaron Entertainment GmbH,T,71
DS,2005,Misc,Nintendo,0.01,0,0.02,0,0.03,Indies Zero,E,71
GBA,2002,Action,LSP Games,0.02,0.01,0,0,0.03,LSP,T,71
PS2,2004,Role-Playing,505 Games,0.01,0.01,0,0,0.03,Taito Corporation,E,71
XB,2004,Adventure,Ubisoft,0.02,0.01,0,0,0.03,Microids,T,71
XB,2002,Sports,Konami Digital Entertainment,0.02,0.01,0,0,0.03,Konami,T,71
XB,2005,Shooter,Eidos Interactive,0.02,0.01,0,0,0.02,Deadline Games,M,71
PS,2000,Strategy,Empire Interactive,0.01,0.01,0,0,0.02,Minds-Eye Productions,E,71
PC,2006,Strategy,Deep Silver,0,0.02,0,0,0.02,SEK Ost,T,71
GBA,2002,Shooter,Konami Digital Entertainment,0.02,0.01,0,0,0.02,Konami,E,71
GC,2002,Sports,Midway Games,0.02,0,0,0,0.02,Point of View,E,71
PC,2008,Action,Activision,0,0.02,0,0,0.02,Beenox,E10+,71
GC,2003,Sports,Midway Games,0.02,0,0,0,0.02,Midway,E,71
PC,2009,Strategy,Paradox Interactive,0.02,0,0,0,0.02,1C:Ino-Co,T,71
XB,2006,Shooter,Eidos Interactive,0.01,0,0,0,0.02,Rebellion,T,71
GC,2003,Strategy,Jaleco,0.01,0,0,0,0.02,Jaleco Entertainment,T,71
PC,2003,Adventure,Microids,0,0.01,0,0,0.02,Microids,M,71
PSP,2007,Sports,Electronic Arts,0.01,0,0,0,0.01,EA Canada,E,71
PC,2016,Strategy,Nordic Games,0,0.01,0,0,0.01,KING Art,,71
PC,2007,Shooter,Vivendi Games,0.01,0,0,0,0.01,Saber Interactive,M,71
PC,2015,Strategy,Focus Home Interactive,0,0.01,0,0,0.01,Eugen Systems,,71
DS,2007,Misc,Nintendo,4.4,1.85,1.98,0.68,8.91,Hudson Soft,E,72
PS2,2002,Action,Sony Computer Entertainment,1.23,1.77,0.05,0.49,3.54,Team Soho,M,72
PS2,2001,Shooter,Electronic Arts,1.9,1.13,0.1,0.41,3.53,EA Redwood Shores,T,72
XOne,2014,Action,Ubisoft,2.27,0.9,0,0.33,3.5,"Ubisoft, Ubisoft Montreal",M,72
DS,2008,Action,Warner Bros. Interactive Entertainment,1.75,1.01,0,0.29,3.05,TT Fusion,E10+,72
PSP,2007,Role-Playing,Capcom,0.37,0.27,1.75,0.18,2.57,Capcom,T,72
DS,2010,Action,Warner Bros. Interactive Entertainment,1.07,0.99,0,0.22,2.28,TT Fusion,E10+,72
PSP,2005,Racing,Electronic Arts,1.77,0.12,0.02,0.17,2.07,EA Canada,E10+,72
X360,2007,Racing,Electronic Arts,1.04,0.79,0.01,0.21,2.05,EA Black Box,E10+,72
PS2,2006,Shooter,Sony Computer Entertainment,1.74,0.02,0,0.28,2.04,Zipper Interactive,T,72
X360,2008,Fighting,Midway Games,1.53,0.23,0,0.16,1.93,Midway,T,72
PS2,2001,Misc,Namco Bandai Games,1.73,0.07,0,0.02,1.82,Mass Media,E,72
PS2,2005,Fighting,Atari,0.96,0.12,0.54,0.04,1.66,Spike,T,72
X360,2008,Shooter,Electronic Arts,1.09,0.37,0.02,0.16,1.64,EA Montreal,M,72
GC,2003,Platform,Sega,1.05,0.44,0.06,0.04,1.6,Sonic Team,E,72
DS,2008,Misc,Activision,0.84,0.57,0,0.16,1.57,Vicarious Visions,E10+,72
Wii,2009,Action,Activision,0.9,0.38,0,0.12,1.4,Traveller's Tales,E10+,72
PS3,2014,Action,Ubisoft,0.46,0.56,0.06,0.2,1.29,Ubisoft Sofia,M,72
PS3,2011,Fighting,THQ,0.53,0.45,0.02,0.17,1.17,Yuke's,T,72
Wii,2007,Adventure,Nintendo,0.43,0.46,0.09,0.09,1.06,Arika,E,72
X360,2008,Shooter,Electronic Arts,0.65,0.3,0.01,0.1,1.06,Pandemic Studios,T,72
Wii,2007,Sports,Electronic Arts,0.93,0.01,0,0.08,1.02,EA Salt Lake,E,72
Wii,2007,Fighting,Atari,0.32,0.36,0.26,0.09,1.02,"Spike, Namco Bandai Games",T,72
X360,2014,Action,Ubisoft,0.58,0.34,0,0.09,1.01,Ubisoft,M,72
PS2,2002,Action,Tecmo Koei,0.13,0.1,0.74,0.03,1,Omega Force,T,72
PS3,2008,Shooter,Electronic Arts,0.29,0.39,0.02,0.16,0.87,Pandemic Studios,T,72
X360,2010,Misc,Activision,0.47,0.31,0,0.08,0.86,Neversoft Entertainment,T,72
PS2,2003,Action,Tecmo Koei,0.17,0.13,0.51,0.04,0.86,Omega Force,T,72
WiiU,2013,Sports,Nintendo,0.35,0.23,0.21,0.05,0.85,Nintendo,E,72
PSP,2009,Sports,Konami Digital Entertainment,0.09,0.33,0.2,0.18,0.8,Konami,E,72
X360,2009,Role-Playing,Square Enix,0.32,0.2,0.21,0.06,0.79,"Square Enix, Tri-Ace",T,72
PS3,2011,Shooter,Activision,0.33,0.33,0,0.12,0.78,Eurocom Entertainment Software,T,72
PSP,2008,Fighting,THQ,0.41,0.2,0,0.14,0.75,Yuke's,T,72
3DS,2012,Action,Warner Bros. Interactive Entertainment,0.41,0.28,0,0.06,0.75,TT Games,E10+,72
GBA,2003,Role-Playing,Nintendo,0.31,0.11,0.3,0.02,0.74,Brownie Brown,E,72
PS3,2010,Role-Playing,Sega,0.2,0.21,0.24,0.08,0.73,Tri-Ace,T,72
PS3,2011,Shooter,Bethesda Softworks,0.29,0.32,0.01,0.12,0.73,Splash Damage,T,72
PS,2001,Fighting,Activision,0.4,0.27,0,0.05,0.72,Paradox Development,T,72
GC,2003,Fighting,Tomy Corporation,0.53,0.14,0,0.02,0.68,Tomy Corporation,T,72
DS,2009,Puzzle,THQ,0.44,0.14,0,0.06,0.64,5TH Cell,E,72
GBA,2004,Simulation,Electronic Arts,0.37,0.22,0,0.03,0.62,Griptonite Games,E,72
XB,2002,Sports,Microsoft Game Studios,0.46,0.13,0,0.02,0.61,Microsoft Game Studios,E,72
PS2,2002,Shooter,TDK Mediactive,0.3,0.23,0,0.08,0.61,Vicious Cycle,T,72
PS2,2007,Sports,Take-Two Interactive,0.5,0.02,0,0.08,0.6,Visual Concepts,E,72
PS4,2014,Action,Warner Bros. Interactive Entertainment,0.13,0.38,0,0.09,0.6,TT Games,E10+,72
WiiU,2013,Misc,Ubisoft,0.31,0.23,0,0.05,0.6,Ubisoft,E10+,72
XOne,2015,Sports,Take-Two Interactive,0.32,0.22,0,0.05,0.59,Yuke's,T,72
X360,2007,Sports,Activision,0.49,0.02,0,0.04,0.56,Neversoft Entertainment,T,72
X360,2009,Shooter,Activision,0.28,0.22,0,0.06,0.56,"id Software, Raven Software",M,72
Wii,2010,Puzzle,Nintendo,0.33,0.16,0.02,0.05,0.56,"Tetris Online, Inc",E,72
XB,2004,Platform,Activision,0.4,0.13,0,0.02,0.55,"Luxoflux, Inc.",E,72
PS3,2007,Shooter,Vivendi Games,0.18,0.26,0,0.1,0.54,Day 1 Studios,M,72
XB,2005,Shooter,Electronic Arts,0.32,0.19,0,0.02,0.53,EA LA,T,72
Wii,2006,Racing,Nintendo,0.39,0.03,0.08,0.04,0.53,Monster Games Inc.,E,72
X360,2011,Shooter,Activision,0.25,0.2,0,0.05,0.5,Eurocom Entertainment Software,T,72
PC,2010,Shooter,Electronic Arts,0.2,0.23,0,0.06,0.49,"Dice, Danger Close",M,72
X360,2008,Fighting,Atari,0.24,0.18,0.03,0.05,0.49,"Dimps Corporation, Namco Bandai Games",T,72
PS2,2005,Role-Playing,Namco Bandai Games,0.07,0.05,0.35,0.02,0.49,Namco,T,72
X360,2008,Shooter,D3Publisher,0.22,0.2,0.01,0.05,0.48,Digital Extremes,M,72
PS3,2009,Action,Electronic Arts,0.2,0.21,0,0.07,0.48,Pandemic Studios,M,72
X360,2006,Sports,Electronic Arts,0.19,0.27,0.01,0,0.48,EA Canada,E,72
PS2,2000,Puzzle,Sony Computer Entertainment,0.14,0.11,0.19,0.04,0.47,SCEJ,E,72
PS3,2008,Shooter,D3Publisher,0.23,0.16,0.01,0.07,0.47,Digital Extremes,M,72
Wii,2010,Fighting,THQ,0.29,0.13,0,0.04,0.46,Yuke's,T,72
PS2,2009,Platform,Sony Computer Entertainment,0.22,0.17,0,0.06,0.46,High Impact Games,E10+,72
PS2,2004,Action,Tecmo Koei,0.04,0.03,0.36,0.01,0.45,Omega Force,T,72
GBA,2004,Racing,Electronic Arts,0.31,0.12,0,0.01,0.43,Pocketeers,E,72
GBA,2004,Platform,Activision,0.3,0.11,0,0.01,0.42,Griptonite Games,E,72
PS4,2015,Role-Playing,Namco Bandai Games,0.17,0.15,0.02,0.06,0.4,Bandai Namco Games,T,72
XB,2002,Shooter,Sega,0.29,0.08,0,0.01,0.39,Wow Entertainment,M,72
PS4,2016,Adventure,Sony Computer Entertainment,0.18,0.15,0,0.07,0.39,SuperMassive Games,M,72
PS4,2014,Misc,Ubisoft,0.19,0.13,0,0.07,0.39,Ubisoft,E10+,72
Wii,2008,Fighting,Tomy Corporation,0.34,0.02,0,0.03,0.38,Eighting,T,72
PSP,2007,Sports,Electronic Arts,0.14,0.15,0,0.09,0.38,EA Salt Lake,E,72
PS2,2006,Fighting,Atari,0.09,0.07,0.19,0.02,0.37,Crafts & Meister,T,72
X360,2011,Role-Playing,Square Enix,0.21,0.12,0.01,0.03,0.37,Obsidian Entertainment,T,72
GBA,2002,Action,Nintendo,0.26,0.1,0,0.01,0.36,Pax Softonica,E,72
PS2,2003,Role-Playing,Sony Computer Entertainment,0.18,0.14,0,0.05,0.36,Cattle Call,T,72
PS2,2009,Racing,Sony Computer Entertainment,0.07,0.03,0,0.25,0.34,Virtuos,T,72
GBA,2003,Platform,THQ,0.24,0.09,0,0.01,0.33,Rare Ltd.,E,72
PS3,2012,Action,Sega,0.09,0.07,0.14,0.03,0.33,Sega,M,72
PS3,2013,Action,Capcom,0.1,0.17,0,0.06,0.32,DONTNOD Entertainment,M,72
PS3,2011,Action,Capcom,0.11,0.08,0.1,0.03,0.32,Capcom Vancouver,M,72
PS2,N/A,Sports,Unknown,0.16,0.12,0,0.04,0.32,Acclaim,E,72
PS2,2000,Strategy,Tecmo Koei,0.08,0.06,0.16,0.02,0.32,Koei,E,72
PS3,2009,Action,Codemasters,0.11,0.15,0,0.06,0.32,Triumph Studios,T,72
XB,2002,Sports,Microsoft Game Studios,0.23,0.07,0,0.01,0.31,High Voltage Software,E,72
GBA,2003,Platform,Universal Interactive,0.22,0.08,0,0.01,0.3,Digital Eclipse,E,72
PSP,2006,Misc,Capcom,0.27,0,0,0.02,0.3,Digital Eclipse,T,72
Wii,2009,Sports,Ubisoft,0.24,0.03,0,0.02,0.29,Ubisoft,E,72
XB,2002,Sports,TDK Mediactive,0.22,0.06,0,0.01,0.29,Simon & Schuster,T,72
XB,2005,Shooter,Midway Games,0.22,0.06,0,0.01,0.29,Midway Studios - Austin,M,72
PS4,2016,Sports,Konami Digital Entertainment,0,0.22,0.04,0.04,0.29,Konami,E,72
PS3,2010,Adventure,Namco Bandai Games,0.09,0.13,0.01,0.05,0.29,Game Republic,T,72
GBA,2001,Platform,Interplay,0.2,0.08,0,0.01,0.29,Game Titan,E,72
Wii,2006,Fighting,Atari,0.24,0.03,0,0.02,0.28,Spike,T,72
X360,2011,Action,Capcom,0.17,0.08,0,0.02,0.27,Capcom Vancouver,M,72
PC,2015,Strategy,Ubisoft,0.02,0.22,0,0.02,0.25,Blue Byte,E10+,72
DS,2007,Racing,THQ,0.22,0,0,0.02,0.24,Juice Games,T,72
PC,2011,Role-Playing,Sony Online Entertainment,0.16,0.06,0,0.02,0.23,WBIE,T,72
PS3,2008,Shooter,Sega,0.14,0.07,0,0.03,0.23,Bizarre Creations,M,72
PSP,2006,Role-Playing,Eidos Interactive,0.2,0.01,0,0.02,0.22,Snowblind Studios,T,72
Wii,2006,Sports,Nintendo,0.14,0.01,0.07,0.01,0.22,"Tecmo, Ntreev Soft",E10+,72
PC,2015,Simulation,Electronic Arts,0.05,0.15,0,0.02,0.22,Maxis,T,72
PSP,2005,Sports,Sony Computer Entertainment,0.2,0,0,0.02,0.22,SCEA Sports Studio,E,72
Wii,2009,Action,THQ,0.08,0.12,0,0.02,0.22,Rainbow Studios,T,72
PC,2004,Shooter,LucasArts,0.07,0.13,0,0.02,0.21,EA DICE,T,72
PSV,2014,Action,Nippon Ichi Software,0.06,0.01,0.12,0.02,0.21,Spike Chunsoft,M,72
PS4,2016,Action,Ubisoft,0.04,0.13,0,0.03,0.2,Ubisoft Montreal,M,72
PSP,2006,Strategy,Atari,0.18,0,0,0.02,0.2,Frontier Developments,E10+,72
GBA,2003,Platform,Activision,0.14,0.05,0,0,0.2,Vicarious Visions,E,72
PS3,2011,Sports,Take-Two Interactive,0.15,0.03,0,0.02,0.2,Visual Concepts,E,72
XB,2005,Action,Disney Interactive Studios,0.15,0.04,0,0.01,0.2,Traveller's Tales,T,72
PC,N/A,Racing,Atari,0.05,0.11,0,0.03,0.19,Eden,T,72
PS3,2010,Action,Konami Digital Entertainment,0.1,0.04,0.04,0.02,0.19,FeelPlus,M,72
XB,2004,Role-Playing,Microsoft Game Studios,0.14,0.04,0,0.01,0.19,Climax Group,M,72
PS3,2009,Shooter,THQ,0.1,0.06,0.01,0.03,0.19,Swordfish Studios,M,72
